order,source,status,country_code,state_code,county_code,code,NAME_0,NAME_1,NAME_2,NAME_3,NAME_4,loc,loc.correct,latitude.gazetteer,longitude.gazetteer
42877,gbif_splink,remove,,,,,Brazil,São Paulo,São José do Barreiro ( 28 ) | barreiro co ( 4 ) | São Paulo ( 4 ) | sao jos do barreiro ( 1 ),barreiro co serra da bocaina lageado farm ( 87 ) | barreiro co serra da bocaina road to pinheirinho ( 10 ) | barreiro co serra da bocaina ( 8 ) | barreiro co serra da bocaina farm lageado ( 6 ) | barreiro co serra da bocaina lageado farm mata ( 6 ) | barreiro co serra da bocaina estrada para o planalto ( 4 ),,brazil_sao paulo_barreiro co,,-22.42011671,-47.70488395
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
42912,gbif_splink,remove,,,,,Brazil,São Paulo,Ubatuba,cidade de ubatuba bairro de parqueacu ( 135 ) | cidade de ubatuba bairro de parqueacu on rock by stream ( 4 ) | cidade de ubatuba bairro de parqueacu on wet ground ( 4 ) | cidade de ubatuba bairro de parqueacu road side ( 2 ),,brazil_sao paulo_cidade ubatuba,brazil_sao paulo_ubatuba,-22.4270863,-48.21006744
42722,gbif_splink,ok,,,,,Brazil,São Paulo,Analândia,Serra do Cuscuzeiro,NA,brazil_sao paulo_analandia_serra cuscuzeiro,brazil_sao paulo_analandia_serra cuscuzeiro,-22.10063632,-47.66458153
43142,gbif,ok,,,,,Brazil,São Paulo,Bertioga,praia do itaguare fazenda pintos ( 51 ) | praia de itaguare fazenda da familia pinto ( 13 ) | praia de itaguare fazenda da familia pinto restinga proxima a serra do tatu ( 3 ) | praia do itaguare fazenda da familia pinto ( 3 ) | praia do itaguare km 206 da rod rio-santos fazenda da familia pinto ( 3 ) | praia de itaguare fazenda da familia pinto sp-55 km 2115 ( 2 ),NA,brazil_sao paulo_praia itaguare,brazil_sao paulo_bertioga_praia itaguare,-23.789893,-45.989364
43671,gbif,ok,,,,,Brazil,São Paulo,Bertioga,praia do itaguare fazenda pintos ( 51 ) | praia do itaguare fazenda dos pintos ( 2 ),NA,brazil_sao paulo_bertioga_fazenda pintos,brazil_sao paulo_bertioga_praia itaguare,-23.789893,-45.989364
42789,gbif_splink,ok,,,,,Brazil,São Paulo,Botucatu,distrito de rubiao junior,NA,brazil_sao paulo_distrito rubiao junior,brazil_sao paulo_botucatu_rubiao junior,-22.88679629,-48.49899528
42794,gbif_splink,ok,,,,,Brazil,São Paulo,Botucatu,distrito de rubiao junior unesp ib - jardim botanico ( 482 ) | jardim botanico departamento de botanica  ibb - unesp ( 27 ) | jardim botanico ( 14 ) | jardim botanico unesp - distrito de rubiao junior ( 13 ) | jardim botanico distrito de rubiao junior unesp ( 5 ) | distrito de rubiao junior unesp - jardim botanico ( 1 ),NA,brazil_sao paulo_botucatu_jardim botanico,brazil_sao paulo_botucatu_campus unesp,-22.88679629,-48.49899528
43020,cnuc_ibge,ok,,,,,Brazil,São Paulo,Campinas,ARIE MATA DE SANTA GENEBRA,NA,brazil_sao paulo_campinas_arie mata santa genebra,brazil_sao paulo_campinas_arie mata santa genebra,-22.8214303250563,-47.112931025815
43021,cnuc_ibge,ok,,,,,Brazil,São Paulo,Campinas,ARIE MATA DE SANTA GENEBRA,NA,brazil_sao paulo_campinas_area relevante interesse ecologico mata santa genebra,brazil_sao paulo_campinas_arie mata santa genebra,-22.8214303250563,-47.112931025815
42791,gbif_reflora_splink,ok,,,,,Brazil,São Paulo,Campinas,UNICAMP,NA,brazil_sao paulo_campinas_campus unicamp,brazil_sao paulo_campinas_campus unicamp,-22.82232331,-47.06304594
43155,gbif_reflora_splink,ok,,,,,Brazil,São Paulo,Cananéia,Ilha do Cardoso,NA,brazil_sao paulo_sao paulo_ilha cardoso,brazil_sao paulo_cananeia_ilha cardoso,-25.16164702,-47.97034135
43022,gbif_jabot_reflora_splink,ok,,,,,Brazil,São Paulo,Cunha,PE Serra do Mar - Núcleo Cunha,NA,brazil_sao paulo_cunha_parque estadual serra mar nucleo cunha,brazil_sao paulo_cunha_parque estadual serra mar nucleo cunha,-23.23390768,-45.02281386
42785,splink,ok,,,,,Brazil,São Paulo,Mogi das Cruzes,apa do rio tiete cesar de sousa,NA,brazil_sao paulo_mogi cruzes_apa rio tiete cesar sousa,brazil_sao paulo_mogi cruzes_apa rio tiete cesar sousa,-23.531707255601,-46.1732016071731
43299,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,25 km nw de mogi-guacu estacao experimental de mogi-guacu (fazenda campininha) ( 48 ) | 25 km nw de mogi guacu estacao experimental de mogi-guacu (fazenda campininha) ( 8 ) | 25 km nw de mogi-guacu estacao experimental de moji-guacu (fazenda campininha) ( 3 ) | 25 km nw de mogi guacu estacao experimental de mogi guacu (fazenda campininha) ( 2 ) | 25 km nw de mogi-guacu estacao experimental do mogi-guacu (fazenda campininha) ( 2 ) | 25 km nw de mogi-guacu nw de mogi-guacu estacao experimental de mogi-guacu (fazenda campininha) ( 2 ),NA,brazil_sao paulo_25 km nw mogi guacu_fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
42949,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,25km nw de mogi-guacu estacao experimental de mogi-guacu (fazenda campininha) ( 16 ) | fazenda campininha ( 8 ) | mun moji-guacu padua sales fazenda campininha ( 8 ) | moji-guacu padua sales fazenda campininha ( 6 ) | sao paulo mogi-guacu fazenda campininha ( 5 ) | 25km nw de mogi-guacu estacao experimental de mogi-guacu (faz campininha) ( 3 ),NA,brazil_sao paulo_sao paulo_fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
43822,gbif,ok,,,,,Brazil,São Paulo,Mogi Guaçu,"campos das sete lagoas faz campininha just north of rio moji-guacu; 4 km nnw of padua sales (about 27 km nw of city of moji - mirim) ( 2 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu ( 2 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 10km nne of padua sales about 27km nw of city of moji-mirim ( 2 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 10km nne of padua sales about 27km nw of the city of moji-mirim ( 2 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 85 km nne of padua sales ( 2 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 36 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 2 )",NA,brazil_sao paulo_mogi guacu_fazenda campininha just north of rio moji guacu,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
43380,gbif,ok,,,,,Brazil,São Paulo,Mogi Guaçu,campos das sete lagoas fazenda campininha just north of rio moji-guacu 37 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 7 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 10 km nne of padua sales (about 27 km nw of city of moji-mirim) ( 5 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 4 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 4 km nnw of padua sales (about 27 km nw of city of moji-mirim ( 3 ) | campos das sete lagoas fazenda campininha just north of rio moji-guacu 4 km nnw of padua sales about 27 km nw of city of moji-mirim ( 3 ) | campos da sete lagoas fazenda campininha just north of rio moji-guacu 37 km nnw of padua sales about 27 km nw of city of moji-mirim ( 2 ),NA,brazil_sao paulo_campos sete lagoas_fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
42812,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,fazenda campininha martinho prado reserva biologica ( 117 ) | fazenda campininha padua sales reserva biologica ( 69 ) | fazenda campininha martinho prado junior reserva biologica ( 42 ) | fazenda campininha reserva biologica ( 12 ) | martinho prado fazenda campininha reserva biologica mata da mariana corrego da divisa ( 10 ) | mogi-guacu martinho prado fazenda campininha reserva biologica mata da figueira corrego da divisa ( 8 ),NA,"brazil_sao paulo_mogi guacu_fazenda campininha, reserva biologica",brazil_sao paulo_mogi guacu_rebio mogi guacu,-22.28940058,-47.15230693
42919,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,fazenda campininha reserva florestal ( 31 ) | fazenda campininha perto de padua sales reserva florestal ( 30 ) | fazenda campininha reserva florestal perto de padua sales ( 21 ) | perto de padua sales fazenda campininha reserva florestal ( 8 ) | fazenda campininha reserva florestal proximidades de padua sales efs ( 4 ) | fazenda campininha perto de padua sales reserva florestal perto da torre ( 3 ),NA,"brazil_sao paulo_mogi guacu_fazenda campininha, reserva florestal",brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
43305,gbif_reflora_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,martinho prado reserva biologica da fazenda campininha ( 55 ) | mogi guacu martinho prado reserva biologica da fazenda campininha ( 19 ) | martinho prado reserva biologica da fazenda campininha  ( 1 ),NA,brazil_sao paulo_mogi guacu_martinho prado reserva biologica fazenda campininha,brazil_sao paulo_mogi guacu_rebio mogi guacu,-22.28940058,-47.15230693
43848,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,padua sales na reserva florestal (fazenda campininha) ( 12 ) | perto de padua sales na reserva florestal (fazenda campininha) ( 8 ) | padua sales na reserva florestal fazenda campininha ( 6 ) | proximo de padua sales na reserva florestal fazenda campininha ( 5 ) | na reserva florestal (fazenda campininha) ( 2 ) | na reserva florestal (fazenda campininha) perto de padua sales ( 2 ),NA,"brazil_sao paulo_mogi guacu_na reserva florestal, fazenda campininha",brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
42811,gbif_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,reserva florestal (fazenda campininha) perto de padua sales ( 56 ) | perto de padua sales reserva florestal (fazenda campininha) ( 25 ) | reserva florestal (fazenda campininha) ( 23 ) | reserva florestal fazenda campininha ( 19 ) | reserva florestal fazenda campininha perto de padua sales ( 19 ) | perto de padua sales reserva florestal fazenda campininha ( 14 ),NA,"brazil_sao paulo_mogi guacu_reserva florestal, fazenda campininha",brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
42995,gbif_reflora_splink,ok,,,,,Brazil,São Paulo,Mogi Guaçu,reserva florestal da fazenda campininha ( 29 ) | reserva florestal fazenda campininha ( 13 ) | perto de padua sales reserva florestal da fazenda campininha ( 6 ) | reserva florestal fazenda campininha perto de padua sales ( 4 ) | mogi guacu perto de padu sales reserva florestal da fazenda campininha ( 3 ) | perto de padua sales reserva florestal fazenda campininha ( 3 ),NA,brazil_sao paulo_mogi guacu_reserva florestal fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
42761,gbif_jabot_reflora_splink,ok,,,,,Brazil,São Paulo,Nazaré Paulista,"estrada em torno da represa atibainha ( 862 ) | estrada em torno da represa atibainha mata mesofila semidecidua ( 554 ) | estrada em torno da represa atibainha 23*08'334""s 46*21'284""w 800 msm mata mesofila semidecidua ( 62 ) | estrada em torno da represa atibainha mata mesofila semidescidua ( 40 ) | estrada em torno da represa atibainha beira de mata ( 20 ) | estrada em torno da represa atibainha 23*08'33 4""s 46*21'28 4""w 800 msm mata mesofila semidecidua ( 18 )",NA,brazil_sao paulo_nazare paulista_estrada em torno represa atibainha,brazil_sao paulo_nazare paulista_represa atibainha,-23.14999595,-46.36404674
42784,gbif_splink,ok,,,,,Brazil,São Paulo,Santo André,REBIO do Alto da Serra de Paranapiacaba,NA,brazil_sao paulo_santo andre_estacao biologica alto serra paranapiacaba,brazil_sao paulo_santo andre_rebio alto serra paranapiacaba (antiga estacao biologica de mesmo nome),-23.77494581,-46.31299103
600006,gbif_splink,ok,,,,,Brazil,São Paulo,Santo André,REBIO do Alto da Serra de Paranapiacaba,NA,brazil_sao paulo_santo andre_estacao biologicado alto serra paranapiacaba,brazil_sao paulo_santo andre_rebio alto serra paranapiacaba (antiga estacao biologica de mesmo nome),-23.77494581,-46.31299103
42813,gbif_splink,ok,,,,,Brazil,São Paulo,São Paulo,"parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica ca 10 km south and 08-10 km east of center of sao paulo (praca da se) ( 26 ) | parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica 98 km south and 08 km east of center of sao paulo (praca da se) ( 13 ) | parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica ca 10 km south and ca 1 km east of center of sao paulo (praca da se) ( 13 ) | municipio de sao paulo: parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica ca 10 km south and 08-10km east of center of sao paulo (praca da se) ( 7 ) | parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica 101 km south and 20 km east of center of sao paulo (praca da se) ( 7 ) | municipio de sao paulo: parque do estado (on old maps ""parque de agua funda"") grounds of the instituto de botanica 98 km south and 08 km east of center of sao paulo (praca da se) ( 5 )",NA,"brazil_sao paulo_sao paulo_parque estado, on old maps ""parque agua funda""",brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo),-23.64662606,-46.62199539
43025,gbif_reflora_splink,ok,,,,,Brazil,São Paulo,São Paulo,PE Fontes do Ipiranga,NA,"brazil_sao paulo_sao paulo_parque estadual fontes ipiranga, reserva biologica",brazil_sao paulo_sao paulo_pe fontes ipiranga (antigo parque estado sao paulo),-23.64358592,-46.62117371
42775,gbif_jabot_reflora_splink,ok,,,,,Brazil,São Paulo,São Paulo,PE Serra do Mar - Núcleo Curucutu,NA,brazil_sao paulo_sao paulo_parque estadual serra mar nucleo curucutu,brazil_sao paulo_sao paulo_parque estadual serra mar nucleo curucutu,-23.9828455,-46.73009701
43941,gbif_splink,check,,,,,Brazil,São Paulo,Mogi Guaçu,"campos das sete lagoas just east of the boundary of the reserva florestal at fazenda campininha about 10 km north of rio moji-guacu and the village of padua sales about 30 km nw of city of moji-mirim ( 2 ) | campo das sete lagoas"""" just east of the boundary of the reserva florestal at fazenda campininha about 10 km nne of rio moji-guacu and the village of padua sales ( 1 ) | campos das sete lagoas just east of the boundary of the reserva florestal at fazenda campininha about 10 km nne of rio moji-guacu & the village of padua sales ( 1 ) | campos das sete lagoas just east of the boundary of the reserva florestal at fazenda campininha about 10 km nne of rio moji-guacu & the village of padua sales about 30 km nw of city of moji-mirim ( 1 ) | campos das sete lagoas just east of the boundary of the reserva florestal at fazenda campininha about 10 km north of rio moji-guacu and the village of padua sales about 30 km nw of city moji-mirim ( 1 ) | campos das sete lagoas just east of the boundary of the reserva florestal at fazenda campininha about 10km nne of rio moji-guacu and the village of padua sales (about 30km nw of city of moji-mirim) ( 1 )",,brazil_sao paulo_mogi guacu_just east of the boundary of the reserva florestal at fazenda campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
43942,gbif_splink,check,,,,,Brazil,São Paulo,Mogi Guaçu,reserva biologica campininha cerrado-cerradao ( 22 ) | padua sales reserva biologica campininha ( 7 ) | martinho prado reserva biologica campininha ( 5 ) | reserva biologica campininha ( 5 ) | distrito de martinho prado junior ibt reserva biologica da campininha (ibt) ( 1 ) | martinho prado reserva biologica da campininha ( 1 ),,brazil_sao paulo_mogi guacu_reserva biologica campininha,brazil_sao paulo_mogi guacu_fazenda campininha,-22.28940058,-47.15230693
43144,gbif_reflora_splink,check,,,,,Brazil,São Paulo,Votuporanga,fazenda vizinha da estacao experimental do iac,,brazil_sao paulo_votuporanga_fazenda vizinha estacao experimental iac,,-20.45826324,-50.04941093
43162,gbif_splink,???,,,,,Brazil,São Paulo,São Paulo ( 89 ),municipio de sao paulo: grounds of horto florestal at cantareira 9 km due north of center of sao paulo (praca da se) ( 7 ) | mpio sao paulo pq est fontes ipiranga ( 6 ) | mpio sao paulo pq est fontes do ipiranga ( 5 ) | municipio de sao paulo: grounds of the horto florestal at cantareira 9 km due north of center of sao paulo (praca da se) in open ground along rr tracks near km 11 ( 5 ) | municipio de sao paulo about 10 km due north of center of sao paulo (praca da se) serra da cantareira near top ( 4 ) | municipio de sao paulo: 10 km south of center of city of sao paulo in the parque do estado grounds of the instituto de botanica ( 4 ),,brazil_sao paulo_municipio sao paulo,brazil_sao paulo_sao paulo,-23.59132756,-46.64453711
43141,gbif_reflora_splink,3679,,,,,Brazil,São Paulo,Piracicaba,mata do dois corregos ( 47 ) | mata dos dois corregos ( 16 ) | mata do dois corregos mata de brejo ( 10 ) | mata de dois corregos ( 3 ) | mata do dois corregos 22'36'1190's 47'36'550'o ( 2 ) | mata do dois corregos borda de mata de brejo ( 2 ),,brazil_sao paulo_piracicaba_mata dois corregos,,-22.61753194,-47.6060217
42786,gbif_splink,1021,,,,,Brazil,São Paulo,Teodoro Sampaio,pemorro do diabo ( 1011 ) | pemorro do diabo corrego da onca ( 2 ) | pemorro do diabo regiao do aeroporto ( 2 ) | pemorro do diabo regiao da mina da serra ( 1 ) | pemorro do diabo regiao de antonio candido ( 1 ) | pemorro do diabo regiao de engenheiro vera ( 1 ),,brazil_sao paulo_teodoro sampaio_parque estadual morro diabo,brazil_sao paulo_teodoro sampaio_pe morro diabo,-22.53017074,-52.16105778
43440,gbif_splink,913,,,,,Brazil,São Paulo,Itararé,fazenda santa isabel ( 17 ) | fazenda santa isabel (ripasa sa) ( 17 ) | fazenda santa isabel (ripasa) ( 12 ) | fazenda santa isabel ripasa ( 6 ) | faz santa isabel canyon do rio pirituba ( 2 ) | fazenda santa isabel ( ripasa sa) ( 2 ),,brazil_sao paulo_itarare_fazenda santa isabel,,-24.1955335,-49.2207889
42787,gbif,801,,,,,Brazil,São Paulo,Mogi Guaçu ( 32 ),"campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 37 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 89 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 10 km nne of padua sales (about 27 km nw of city of moji-mirim) ( 76 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 34 km nnw of padua sales (27 km nw of city of moji-mirim) ( 34 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu ca 4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 24 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu 4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 21 ) | campos das sete lagoas"" fazenda campininha just north of rio moji-guacu ~4 km nnw of padua sales (about 27 km nw of city of moji-mirim) ( 18 )",,"brazil_sao paulo_campos sete lagoas""",brazil_sao paulo_mogi guacu_fazenda campininha,,
43147,gbif_splink,723,,,,,Brazil,São Paulo,Pirassununga,estrada pirassununga-emas ( 43 ) | mun pirassununga estrada pirassununga-emas ( 18 ) | municipio de pirassununga estrada pirassununga-emas ( 7 ) | pirassununga estrada pirassununga-emas ( 7 ) | estrada pirassununga-emas cerrado ( 3 ) | estrada pirassununga- emas ( 2 ),,brazil_sao paulo_pirassununga_estrada pirassununga emas,,-21.99170529,-47.42006898
43148,gbif_splink,718,,,,,Brazil,São Paulo,Ubatuba,estrada de itamambuca km 35 da rodovia rio/santos ( 57 ) | estrada de itamambuca km 35 da rodovia rio/santos mata atlantica ( 11 ) | estrada de itamambuca km 35 da rodovia rio/ santos ( 8 ) | estrada de itamambuca km 35 da rodovia rio - santos ( 7 ) | estrada de itamambuca km 35 da rodovia rio / santos ( 3 ) | estrada de itamambuca km 35 da rodovia rio - santos mata atlantica ( 2 ),,"brazil_sao paulo_ubatuba_estrada itamambuca, km 35 rodovia rio",,-23.42786883,-45.070173
43485,gbif,699,,,,,Brazil,São Paulo,parque estadual carlos botelho ( 13 ) | Itapetininga ( 9 ) | São Miguel Arcanjo ( 6 ) | São Paulo ( 2 ),ca 50 km s de itapetininga estrada a registro reserva florestal de carlos botelho ( 46 ) | ca 50 km s de itapetininga estrada de registro reserva florestal de carlos botelho ( 6 ) | ca 50 km s de itapetininga estrada a registro ( 2 ) | ca 50 km s de itapetininga estrada a registro reserva florestal de carlos botelho barra da mata atlantica umida ( 2 ) | ca 50 km s de itapetininga estrada a registro reserva florestal de carlos botelho&nf;mata umida ( 2 ) | ca 50 km s de itapetininga estrada do registro reserva florestal de carlos botelho ( 2 ),,brazil_sao paulo_circa 50 km s itapetininga,,-23.7341624,-48.02035295
43149,gbif_splink,676,,,,,Brazil,São Paulo,Campos do Jordão,serra da mantiqueira ( 56 ) | serra mantiqueira ( 13 ) | serra da mantiqueira bei minalba ( 2 ) | serra da mantiqueira entre campos do jordao e pirangucu descendo da serra para venceslau bras ( 2 ) | entre campos do jordao e pirangucu &nf;serra da mantiqueira ( 1 ) | serra da mantiqueira  ( 1 ),,brazil_sao paulo_campos jordao_serra mantiqueira,,-22.73359082,-45.57526861
42790,gbif_splink,676,,,,,Brazil,São Paulo,Franco da Rocha,pejuqueri ( 667 ) | pejuqueri morro do pato ( 2 ) | pejuqueri morro grande ( 2 ) | pejuqueri morro ovo de pato ( 2 ) | pejuqueri regiao da ossada ( 2 ) | pejuqueri regiao da ossada campo cerrado ( 1 ),,brazil_sao paulo_franco rocha_parque estadualjuqueri,,-23.32006903,-46.72105622
43024,gbif_splink,671,,,,,Brazil,São Paulo,Santa Rita do Passa Quatro,arie - cerrado pe-de-gigante area demarcada ( 275 ) | arie - cerrado pe-de-gigante ( 115 ) | arie - cerrado pe de gigante area demarcada ( 73 ) | arie - cerrado pe de gigante ( 41 ) | arie - cerrado pe-de-gigante margem em direcao a via anhanguera ( 33 ) | arie - cerrado pe de gigante margem em direcao a via anhanguera ( 22 ),,brazil_sao paulo_santa rita passa quatro_arie,,-21.6472577,-47.56962552
43150,gbif_splink,632,,,,,Brazil,São Paulo,Caraguatatuba,parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria km 30 ( 26 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 campo de altitude com dominancia de eremanthus ca 1220msm ( 11 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 floresta ombrofila densa interior de mata umida ( 11 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 campo de altitude com dominancia de eremanthus ( 9 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 ( 5 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria proximo ao km 41 ( 5 ),,"brazil_sao paulo_caraguatatuba_parque estadual serra mar nucleo caraguatatuba, estrada intermediaria",,-23.66811196,-45.63806975
42792,gbif_splink,600,,,,,Brazil,São Paulo,Itararé,estrada itarare - itapeva proximo a ponte do rio verde ( 125 ) | estrada itarare - itapeva proximo a ponte do rio verde cerrado ( 46 ) | estrada itarare - itapeva proximo a ponte do rio verde area de brejo com transicao para cerrado nos pontos mais altos ( 37 ) | estrada itarare - itapeva proximo a ponte do rio verde campo natural na beira do rio verde ( 35 ) | estrada itarare - bonsucesso ( 33 ) | estrada itarare - itapeva proximo a ponte do rio verde area de cerrado adjacente a banhado ( 28 ),,brazil_sao paulo_itarare_estrada itarare,,-24.09785222,-49.2832718
43152,gbif_splink,600,,,,,Brazil,São Paulo,Mogi das Cruzes,divisa com bertioga parque das neblinas area particular da suzano celulose trilha das botas mata atlantica em recuperacao ( 29 ) | parque das neblinas trilha do mirante ( 27 ) | parque das neblinas trilha das antas ( 15 ) | parque das neblinas ( 8 ) | parque das neblinas trilha da nascente ( 6 ) | divisa com bertioga parque das neblinas area particular da suzano celulose trilha das antas floresta atlantica e margem de riacho ( 4 ),,brazil_sao paulo_mogi cruzes_parque neblinas,,-23.681668,-46.18301125
43127,gbif_splink,592,,,,,Brazil,São Paulo,Pariquera-Açu,estacao experimental ( 62 ) | estacao experimental - iac ( 16 ) | estacao experimental do iac floresta alta ( 2 ) | estacao experimental floresta atlantica ( 2 ) | estacao experimental margem de canal de agua ( 2 ) | estacao experimental - iac 2448' 54 3' s; 4744'32 4' w ( 1 ),,brazil_sao paulo_pariquera acu_estacao experimental,,-24.66455243,-47.88513104
42793,gbif_reflora_splink,573,,,,,Brazil,São Paulo,Itararé ( 542 ) | Bom Sucesso de Itararé ( 24 ) | itarare - bonsucesso ( 2 ),estrada de itarare - bom sucesso proximo a entrada da fazenda sao nicolau ( 75 ) | estrada itarare - bom sucesso de itarare fazenda ibiti (ripasa) ( 46 ) | estrada itarare - bonsucesso fazenda santa maria do espinho ( 40 ) | estrada itarare - bonsucesso fazenda ibiti (ripasa) ( 30 ) | estrada itarare - bom sucesso de itarare ca 17 km de itarare fazenda ibiti (ripasa) ( 24 ) | estrada itarare - bonsucesso proximo a entrada da fazenda sao nicolau ( 21 ),,brazil_sao paulo_estrada itarare,,-24.12593119,-49.29399393
