"Freq","alreadyInGazet","ordemGazet","statusInGazet","alreadyInGazet..status","add","X","source","status","X.1","X.2","X.3","X.4","country","stateProvince","municipality","locality","X.5","loc","loc.correct","meanLatitude","meanLongitude"
242,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Brotas","estacao ecologica de itirapina ( 160 ) | estacao ecologica de itirapina - if ( 35 ) | campo umido estacao ecologica de itirapina ( 11 ) | campo cerrado estacao ecologica de itirapina ( 9 ) | estacao ecologica de itirapina lagoa da ponte ( 7 ) | estacao ecologica de itirapina - if cerrado ( 2 )",,"brazil_sao paulo_brotas_estacao ecologica itirapina","",-22.2264639723404,-47.9567695312057
218,FALSE,,,,,,"jabot_splink",,,,,,"Brazil","São Paulo","Santos","parque estadual marinho da laje de santoslaje principal ( 61 ) | parque estadual marinho da laje de santos coleta realizada entre 18 e 20m de profundidade ( 27 ) | parque estadual marinho da laje de santos coleta realizada entre 10 e 11m de profundidade ( 24 ) | parque estadual marinho da laje de santos laje principal ( 19 ) | parque estadual marinho da laje de santos coleta realizada a 12m de profundidade ( 18 ) | parque estadual marinho da laje de santos - laje principal ( 14 )",,"brazil_sao paulo_santos_parque estadual marinho laje santos","",,
217,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Praia Grande","nucleo itutinga-piloes parque estadual da serra do mar ( 97 ) | parque estadual da serra do mar - intutinga piloes - guariuma ( 63 ) | parque estadual da serra do mar - trilha do lambari ( 35 ) | parque estadual da serra do mar - trilha guariuma ( 17 ) | parque estadual da serra do mar - nucleo itutinga piloes trilha do guariuma sobre liana ( 2 ) | cidade da crianca parque estadual serra do mar - pesm - nucleo itutinga piloes solo - cambissolos textura - argilosa e media relevo - forte ondulado e montanhoso ( 1 )",,"brazil_sao paulo_praia grande_parque estadual serra mar","",-24.0167252953368,-46.5665281036269
215,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Cunha ( 188 ) | São Paulo ( 1 ) | Ubatuba ( 1 )","parque estadual da serra do mar nucleo cunha/indaia trilha do rio bonito (no cruzamento da estrada para santa virginia) ( 35 ) | parque estadual da serra do mar nucleo cunha/indaia estrada para santa virginia ( 23 ) | parque estadual da serra do mar nucleo cunha estrada em direcao a trilha do rio bonito ( 20 ) | parque estadual da serra do mar nucleo cunha ( 12 ) | parque estadual da serra do mar nucleo cunha trilha da barra do rio entorno da estrada ( 10 ) | parque estadual da serra do mar nucleo cunha estrada de terra paralela ao rio paraibuna ( 8 )",,"brazil_sao paulo_parque estadual serra mar nucleo cunha","",-23.2314850357143,-45.0393882785714
210,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Peruíbe","reserva de desenvolvimento sustentavel barra do una ( 205 ) | reserva de desenvolvimento sustentavel barra do una vegetacao de praia ( 2 ) | reserva de desenvolvimento sustentavel barra do una proximo a foz do rio una do prelado ( 1 ) | reserva de desenvolvimento sustentavel barra do una vegetacao de praia coord s 24°26'377'' w 47°4'251'' ( 1 ) | reserva desenvolvimento sustentavel barra do una ( 1 )",,"brazil_sao paulo_peruibe_reserva desenvolvimento sustentavel barra una","",-24.4425149307692,-47.0758120846154
197,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Tapiraí","rppn parque do zizo ( 98 ) | rppn parque do zizo fod ( 93 ) | rppn parque do zizo trilha do pau oco ( 4 ) | rppn parque do zizo a margem do rio ouro fino na quinta queda ( 1 ) | rppn parque do zizo trilha do pau vermelho ( 1 )",,"brazil_sao paulo_tapirai_rppn parque zizo","",-23.9639483519553,-47.5089329106145
182,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Mogi Guaçu","estacao ecologica mogi-guacu ( 68 ) | estacao ecologica de mogi-guacu mata do portugues rio mogi-guacu ( 19 ) | estacao ecologica de mogi-guacu mata do portugues mata ciliar do rio mogi-guacu ( 15 ) | estacao ecologica de mogi guacu mata do portugues mata ciliar do rio mogi guacu ( 13 ) | estacao ecologica de mogi guacu ( 12 ) | estacao ecologica de mogi guacu mata da figueira mata ciliar do rio mogi guacu ( 9 )",,"brazil_sao paulo_mogi guacu_estacao ecologica mogi guacu","",-22.3572513076923,-46.9759692307692
180,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Sete Barras","parque estadual de carlos botelho estrada estadual sao miguel arcanjo - sete barras (sp139) floresta ombrofila densa submontana 35 km acima do nucleo sete-barras ( 23 ) | parque estadual de carlos botelho nucleo sete barras estrada estadual sao miguel arcanjo - sete barras (sp139 km69) floresta ombrofila densa montana ao longo e no entorno do rio bonito ( 17 ) | parque estadual de carlos botelho nucleo sete barras estrada estadual sao miguel arcanjo - sete barras (sp139) floresta ombrofila densa submontana 35 km acima do nucleo sete-barras a 300 m de altitude ( 15 ) | parque estadual de carlos botelho estrada estadual sao miguel arcanjo - sete barras (sp139) floresta ombrofila densa submontana 35 km acima do nucleo sete-barras a 300 m de altitude ( 12 ) | parque estadual de carlos botelho nucleo sete barras estrada estadual sao miguel arcanjo - sete barras (sp139 a 35 km acima do nucleo sete barras) floresta ombrofila densa submontana borda de floresta ( 10 ) | parque estadual de carlos botelho nucleo sete barras estrada estadual sao miguel arcanjo - sete barras (sp139) floresta ombrofila densa submontana 35 km acima do nucleo sete-barras ( 9 )",,"brazil_sao paulo_sete barras_parque estadual carlos botelho, estrada estadual sao miguel arcanjo","brazil_sao paulo_sete barras_pe carlos botelho",-24.1587275,-47.9781774189189
172,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Caraguatatuba ( 153 ) | Salesópolis ( 1 )","parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria km 30 ( 26 ) | parque estadual da serra do mar nucleo caraguatatuba estrada para paraibuna ( 15 ) | parque estadual da serra do mar nucleo caraguatatuba at the park station ( 12 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 campo de altitude com dominancia de eremanthus ca 1220msm ( 11 ) | parque estadual da serra do mar nucleo caraguatatuba estrada intermediaria ca km 41 floresta ombrofila densa interior de mata umida ( 11 ) | parque estadual da serra do mar nucleo caraguatatuba estrada da intermediaria proximo ao rio pardo (autorizacao de coleta proc sma n 260108-000196/0 de 2008) ( 9 )",,"brazil_sao paulo_parque estadual serra mar nucleo caraguatatuba","",-23.6724447024691,-45.6109786839506
171,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Ribeirão Preto","estacao ecologica de ribeirao preto ( 65 ) | estacao ecologica de ribeirao preto borda da mata ao longo da cerca ( 34 ) | estacao ecologica de ribeirao preto ao longo da cerca ( 24 ) | estacao ecologica de ribeirao preto trilha proxima ao corrego ( 13 ) | estacao ecologica de ribeirao preto mata de santa tereza ( 11 ) | estacao ecologica de ribeirao preto proximo a ponte ( 6 )",,"brazil_sao paulo_ribeirao preto_estacao ecologica ribeirao preto","",-21.2165174821429,-47.8392230119048
164,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Luís Antônio","estacao ecologica de jatai ( 120 ) | estacao ecologica de jatai ao longo da trilha que leva as ruinas do porto ( 9 ) | estacao ecologica de jatai/ luiz antonio- sp ( 5 ) | e ecologica de jatai ( 4 ) | estacao ecologica do jatai ( 4 ) | estacao ecologica jatai ( 4 )",,"brazil_sao paulo_luis antonio_estacao ecologica jatai","",-21.571188825,-47.75466841875
162,FALSE,,,,,,"reflora",,,,,,"Brazil","rio negro","","prope barra prov rio negro ( 157 ) | prope barra - capoeiras prov rio negro ( 2 ) | prope barra prov rio negro capoeiras ( 2 ) | prope barra province rio negro ( 1 )",,"brazil_rio negro_prope barra_prope barra","",,
162,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Botucatu","a 20 km de botucatu fazenda mac ( 70 ) | fazenda mac ( 13 ) | a 20 km de botucatu; fazenda mac ( 11 ) | fazenda mac a 20km de botucatu ( 10 ) | fazenda mac a mais ou menos 15km de botucatu ( 5 ) | fazenda mac a mais ou menos 15km de botucatu mata de banhado ( 5 )",,"brazil_sao paulo_botucatu_fazenda mac","",-22.8747966722689,-48.3969047478992
161,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","","parque do estado de sao paulo ( 127 ) | parque do estado de sao paulo capital ( 7 ) | parque do estado sao paulo ( 5 ) | parque do estado sao paulo forma masculina ( 3 ) | parque do estado do sao paulo ( 2 ) | parque do estado do sao paulo; instituto de botanica ( 2 )",,"brazil_sao paulo_parque estado sao paulo_parque estado sao paulo","",,
158,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Ubatuba","nucleo picinguaba margem do rio da fazenda ( 29 ) | nucleo picinguaba localizada ao longo da trilha do corisco sertao da casa da farinha parque estadual da serra do mar ( 27 ) | nucleo picinguaba parque estadual da serra do mar praia da fazenda ( 9 ) | nucleo picinguaba parque estadual da serra do mar rodovia rio - santos ( 7 ) | nucleo picinguaba praia da fazenda a direita vindo do alojamento ( 6 ) | nucleo picinguaba parque estadual da serra do mar trilha do jatoba ( 5 )",,"brazil_sao paulo_nucleo picinguaba","",-23.3484558714286,-44.8522591285714
157,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Águas de Santa Bárbara","estacao ecologica de aguas de santa barbara ( 153 ) | estacao ecologica aguas de santa barbara ( 2 ) | estacao ecologica de aguas de santa barbara coord s 22°50'17'' w 49°14'10'' ecotono com pinus ( 1 ) | estacao ecologica de aguas de santa barbara gleba denominada silverio ( 1 )",,"brazil_sao paulo_aguas santa barbara_estacao ecologica aguas santa barbara","",-22.8136845090909,-49.2331066318182
155,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Rio Claro","floresta estadual edmundo navarro de andrade ( 77 ) | floresta estadual edmundo navarro de andrade (feena) ( 44 ) | floresta estadual edmundo navarro de andrade trilha da colecao ( 4 ) | banco de sementes de solo coletado no horto florestal ""navarro de andrade"" floresta estadual edmundo navarro de andrade ( 3 ) | floresta estadual edmundo navarro de andrade - feena ultimo talhao do arboreto contornado pela trilha da saude ( 3 ) | floresta estadual edmundo navarro de andrade (feen ( 3 )",,"brazil_sao paulo_rio claro_floresta estadual edmundo navarro andrade","",-22.4097108763158,-47.5497406131579
151,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Salesópolis","parque estadual da serra do mar ( 71 ) | parque estadual serra do mar - nucleo padre doria ( 69 ) | peserra do mar ( 8 ) | parque estadual da serra do mar - estrad ( 3 )",,"brazil_sao paulo_salesopolis_parque estadual serra mar","",-23.6118247758621,-45.8252227844828
150,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Águas de Santa Bárbara ( 135 ) | Brotas ( 9 ) | Mogi Guaçu ( 3 ) | Botucatu ( 1 )","campo cerrado estacao ecologica de santa barbara ( 133 ) | campo cerrado estacao ecologica de itirapina ( 9 ) | campo cerrado (a type of scrubby woodland originally)on upland or very rarely forest open marsh or dense secondary forest (mata) along the streams ( 3 ) | campo cerrado ( 2 ) | campo cerrado pos fogo estacao ecologica de santa barbara ( 2 ) | campo cerrado a margem da rodovia joao melao que liga sao manuel a avare no km 296 ( 1 )",,"brazil_sao paulo_campo cerrado","",-22.7482429612245,-49.1235672632653
142,FALSE,,,,,,"gbif_reflora_splink",,,,,,"Brazil","São Paulo","Campos do Jordão","parque da ferradura ( 65 ) | parque da ferradura (trilha do pinhao) ( 22 ) | parque da ferradura trilha do pinhao ( 11 ) | parque ferradura ( 9 ) | parque da ferradura mata riparia ( 4 ) | parque da ferradura mata riparia borda de mata ( 4 )",,"brazil_sao paulo_campos jordao_parque ferradura","",-22.725812125383,-45.526187754502
132,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Cunha","parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha trilha do rio bonito ( 54 ) | parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha trilha das cachoeiras ( 44 ) | parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha trilha da torre parcela 'r' ( 16 ) | parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha trilha do rio paraibuna ( 16 ) | parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha ao lado do alojamento ( 1 ) | parque estadual da serra do mar nucleo cunha parque estadual da serra do mar nucleo cunha trilha da torre parcela ""r"" ( 1 )",,"brazil_sao paulo_cunha_parque estadual serra mar nucleo cunha parque estadual serra mar nucleo cunha","",-23.233333,-45.016667
131,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Cunha","estrada do paraibuna sentido a estrada cunha paraty ( 28 ) | estrada do paraibuna sentido ao parque estadual da serra do mar ( 22 ) | estrada do paraibuna km 18 zona de amortecimento do parque estadual da serra do mar - nucleo cunha sitio vivenda das meninas  fod altomontana ( 19 ) | estrada do paraibuna sentido parque estadual da serra do mar - nucleo cunha ( 9 ) | estrada do paraibuna sentido parque estadual da serra do mar-nucleo cunha ( 8 ) | estrada do paraibuna km 18 zona de amortecimento do parque estadual da serra do mar - nucleo cunha sitio vivenda das menina fod altomontana ( 6 )",,"brazil_sao paulo_estrada paraibuna","",-23.0797796896552,-44.9630929310345
130,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Cunha","parque estadual da serra do mar trilha do rio bonito ( 47 ) | parque estadual da serra do mar trilha do rio bonito proximo da sede ( 41 ) | parque estadual da serra do mar trilha do rio bonito proximo a sede ( 8 ) | parque estadual da serra do mar trilha do rio bonito depois do primeiro divisor de aguas lado esquerdo ( 5 ) | mun cunha parque estadual da serra do mar trilha do rio bonito proximo da sede ( 4 ) | parque estadual da serra do mar trilha do rio bonito proximo a primeira passagem do rio ( 4 )",,"brazil_sao paulo_cunha_parque estadual serra mar trilha rio bonito","",-23.1697148591549,-44.9964573126761
127,FALSE,,,,,,"gbif_splink",,,,,,"Brazil","São Paulo","Rio Claro","horto florestal navarro de andrade ( 71 ) | horto florestal navarro de andrade banco de sementes de solo coordenada calculada ( 21 ) | horto florestal navarro de andrade coordenada calculada ( 11 ) | horto florestal navarro de andrade banco de sementes de solo solo tipo latossolo vermelho/amarelo ( 4 ) | horto florestal navarro de andrade latossolo vermelho/amarelo ( 3 ) | horto florestal navarro de andrade; coordenadas calculadas ( 3 )",,"brazil_sao paulo_rio claro_horto florestal navarro andrade","",-22.4107376114754,-47.5418116163934
