Código CNUC,Nome,Ato Legal de Criação,Link para o Ato Legal de Criação,Outros atos legais,Link para outros atos legais,Plano de Manejo,Link para Plano de Manejo,Documento de Conselho,Link para Documento de Conselho,Outros Instrumentos de Gestão,Link para outros instrumentos de gestão,Endereço para Correspondência,Telefones,E-mails,UFs abrangidas,Municípios abrangidos,Geocódigo das UFs abrangidas,Geocódigo dos municípios abrangidos,Área da UC conforme ato legal de criação (ha),Área total da UC confome ato legal mais recente (ha),Mapa da UC,Site da UC,Página da UC no CNUC,API UC,Logotipo da UC,Redes Sociais,Número de Visitantes por ano,Programa Projeto Gestão Integrada e Reconhecimento Internacional,Situação
0000.35.0810,PARQUE ESTADUAL CARLOS BOTELHO,Decreto 19.499  de 10/09/1982,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1982/decreto%20n.19.499,%20de%2010.09.1982.htm",Sem informação.,Sem informação.,Outros 50 de 23/09/2008,ato legal: http://www.fflorestal.sp.gov.br/planodemanejoCompletos.php | documento do Plano de Manejo: Sem informação.,Resolução 110 de 13/09/2018,https://www.infraestruturameioambiente.sp.gov.br/legislacao/2018/09/resolucao-sma-110-2018/,Sem informação.,Sem informação.,"Rodovia SP-139, Km 78,5, Abaitinga - caixa postal 37, São Miguel Arcanjo, SP - 18230000",(13) 3872-6138 - (15) 3279-0483,fflorestal@fflorestal.sp.gov.br - pe.carlosbotelho@fflorestal.sp.gov.br - pietroos@fflorestal.sp.gov.br,SÃO PAULO,CAPÃO BONITO (SP) - SÃO MIGUEL ARCANJO (SP) - SETE BARRAS (SP),35,3510203 - 3550209 - 3551801,"37.644,00","37.644,00",https://cnuc.mma.gov.br/map/810,Site: http://www.fflorestal.sp.gov.br/hotsites/hotsite/index.php?hotsite=b5ecdeb4f0f67e8165326ecfa672f84f,http://cnuc-backend.mma.gov.br/api/v1/report/uc/810,http://cnuc-backend.mma.gov.br/api/v1/uc/810,Sem informação.,Sem informação.,Sem informação.,Sítio do Patrimônio Sítio do Patrimônio Reservas do Sudeste da Mata Atlântica,Ativo
0000.35.0816,PARQUE ESTADUAL DO MORRO DO DIABO,Decreto 12.279 de 29/10/1941,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1941/decreto%20n.12.279,%20de%2029.10.1941.htm",Recategorização: Decreto 25.342 de 04/06/1986,"Recategorização: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1986/decreto%20n.25.342,%20de%2004.06.1986.htm",Deliberação 27/2006 de 18/07/2006,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Resolução 167 de 06/12/2018,https://www.infraestruturameioambiente.sp.gov.br/legislacao/2018/12/resolucao-sma-167-2018/,Sem informação.,Sem informação.,"SpV 28, km 11, Corrego Seco, Teodoro Sampaio, SP - 19280000",(18) 3282-1599,pe.mdiabo@fflorestal.sp.gov.br,SÃO PAULO,TEODORO SAMPAIO (SP),35,3554300,"37.156,00","33.845,33",https://cnuc.mma.gov.br/map/816,Site: http://www.fflorestal.sp.gov.br/hotsites/hotsite/index.php?hotsite=b5ecdeb4f0f67e8165326ecfa672f84f,http://cnuc-backend.mma.gov.br/api/v1/report/uc/816,http://cnuc-backend.mma.gov.br/api/v1/uc/816,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.35.0826,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,Decreto 32283 de 19/05/1958,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1958/decreto%20n.32.283,%20de%2019.05.1958.htm",Alteração de nome: Decreto 5973 de 28/11/1960 - Ampliação: Decreto 28086 de 13/01/1988,"Alteração de nome: Sem informação. - Ampliação: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1988/decreto%20n.28.086,%20de%2013.01.1988.htm",Resolução 57 de 17/05/2018,ato legal: http://fflorestal.sp.gov.br/pagina-inicial/planos-de-manejo/planos-de-manejo-planos-concluidos/plano-de-manejo-pe-turistico-do-alto-ribeira-petar/ | documento do Plano de Manejo: Sem informação.,Resolução 177 de 12/12/2018,https://www.ambiente.sp.gov.br/legislacao/resolucoes-sma/resolucao-sma-177-2018/,Sem informação.,Sem informação.,"Avenida Isidoro Alpheu Santiago, 364, -, Apiaí, SP - 18320000",(15) 3552-1875 - (15) 3552-4227,petar@fflorestal.sp.gov.br,SÃO PAULO,APIAÍ (SP) - IPORANGA (SP),35,3502705 - 3521200,"35.712,00","35.712,00",https://cnuc.mma.gov.br/map/826,Site: http://fflorestal.sp.gov.br/petar/home/,http://cnuc-backend.mma.gov.br/api/v1/report/uc/826,http://cnuc-backend.mma.gov.br/api/v1/uc/826,Sem informação.,Sem informação.,Sem informação.,Sítio do Patrimônio Sítio do Patrimônio Reservas do Sudeste da Mata Atlântica,Ativo
0000.35.0836,PARQUE ESTADUAL DOS MANANCIAIS DE CAMPOS DO JORDÃO,Decreto 37539 de 27/09/1993,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1993/decreto%20n.37.539,%20de%2027.09.1993.htm",Sem informação.,Sem informação.,Resolução 4 de 10/01/2017,ato legal: http://fflorestal.sp.gov.br/pagina-inicial/planos-de-manejo/planos-de-manejo-planos-concluidos/plano-de-manejo-pe-dos-mananciais-de-campos-do-jordao/ | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Avenida Pedro Paulo s/nº, -, Campos do Jordão, SP - 12460000",(12) 3663-3762,pe.mananciaiscjordao@fflorestal.sp.gov.br,SÃO PAULO,CAMPOS DO JORDÃO (SP),35,3509700,"502,00","502,00",https://cnuc.mma.gov.br/map/836,Site: http://fflorestal.sp.gov.br/petar/home/,http://cnuc-backend.mma.gov.br/api/v1/report/uc/836,http://cnuc-backend.mma.gov.br/api/v1/uc/836,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Mantiqueira,Ativo
0000.35.0844,PARQUE ESTADUAL DA CANTAREIRA,Lei ordinária 10228 de 24/09/1968,Sem informação.,Sem informação.,Sem informação.,Outros 38 de 16/12/2009,ato legal: http://www.fflorestal.sp.gov.br/media/uploads/planosmanejo/PECantareira/deliberacao%20do%20consema/Del38-1.pdf | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Rua do Horto, 1977, Horto Florestal, São Paulo, SP - 2377000",(11) 2203-0073 - (11) 2203-3266,pe.cantareira@fflorestal.sp.gov.br,SÃO PAULO,CAIEIRAS (SP) - GUARULHOS (SP) - MAIRIPORÃ (SP) - SÃO PAULO (SP),35,3509007 - 3518800 - 3528502 - 3550308,"0,00","0,00",https://cnuc.mma.gov.br/map/844,Site: http://www.fflorestal.sp.gov.br/hotsites/hotsite/index.php?hotsite=cbe78e7d0560f4dddd411fcc9a7f3579,http://cnuc-backend.mma.gov.br/api/v1/report/uc/844,http://cnuc-backend.mma.gov.br/api/v1/uc/844,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.35.0845,PARQUE ESTADUAL DO AGUAPEÍ,Decreto 43269 de 02/07/1998,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1998/decreto%20n.43.269,%20de%2002.07.1998.htm",Sem informação.,Sem informação.,Deliberação 18/2010 de 21/07/2010,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Rua São Salvador, 983, Centro, Junqueirópolis, SP - 17890000",(18) 3841-3419,fflorestal@fflorestal.sp.gov.br - pe.aguapei@fflorestal.sp.gov.br,SÃO PAULO,CASTILHO (SP) - GUARAÇAÍ (SP) - JUNQUEIRÓPOLIS (SP) - MONTE CASTELO (SP) - NOVA INDEPENDÊNCIA (SP) - SÃO JOÃO DO PAU D'ALHO (SP),35,3511003 - 3517802 - 3526001 - 3531605 - 3533205 - 3549300,"9.043,00","9.043,00",https://cnuc.mma.gov.br/map/845,Site: www.fflorestal.sp.gov.br,http://cnuc-backend.mma.gov.br/api/v1/report/uc/845,http://cnuc-backend.mma.gov.br/api/v1/uc/845,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.35.0856,PARQUE ESTADUAL DA ILHA ANCHIETA,Decreto 9629 de 29/03/1977,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1977/decreto%20n.9.629,%20de%2029.03.1977.htm",Sem informação.,Sem informação.,Outros n.I de 01/12/1989,ato legal: Sem informação. | documento do Plano de Manejo: Sem informação.,Portaria 115 de 09/05/2014,Sem informação.,Sem informação.,Sem informação.,"Av. Plínio de França, nº 85, Píer Saco da Ribeira, São Paulo, SP - 11680000",(12) 3832-9059 - (12) 3842-1231,peianchieta@yahoo.com.br - pe.ilhaanchieta@fflorestal.sp.gov.br,SÃO PAULO,UBATUBA (SP),35,3555406,"0,00","0,00",https://cnuc.mma.gov.br/map/856,Site: http://www.ambiente.sp.gov.br/parque-ilha-anchieta/,http://cnuc-backend.mma.gov.br/api/v1/report/uc/856,http://cnuc-backend.mma.gov.br/api/v1/uc/856,Sem informação.,Sem informação.,Sem informação.,Mosaico Mosaico Bocaina,Ativo
0000.35.0859,PARQUE ESTADUAL DO JARAGUÁ,Decreto 38391 de 03/05/1961,Sem informação.,Sem informação.,Sem informação.,Outros 021 de 21/06/2011,ato legal: http://www.fflorestal.sp.gov.br/media/uploads/planosmanejo/PE_%20JARAGUA/Deliberacao_Consema_21.pdf | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Rua Antônio Cardoso Nogueira, 539, Anhanguera, São Paulo, SP - 5184000",(11) 3941-2162 - (11) 3943-5222,pe.jaragua@fflorestal.sp.gov.br,SÃO PAULO,OSASCO (SP) - SÃO PAULO (SP),35,3534401 - 3550308,"488,00","488,00",https://cnuc.mma.gov.br/map/859,Site: http://www.ambiente.sp.gov.br/parque-ilha-anchieta/,http://cnuc-backend.mma.gov.br/api/v1/report/uc/859,http://cnuc-backend.mma.gov.br/api/v1/uc/859,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.35.0909,ESTAÇÃO ECOLÓGICA DE BAURU,Decreto 38.424  de 06/05/1961,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1961/decreto%20n.38.424,%20de%2006.05.1961.htm",Recategorização: Decreto 26.890 de 12/03/1987,"Recategorização: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1987/decreto%20n.26.890,%20de%2012.03.1987.htm",Deliberação 08/2010 de 13/04/2010,ato legal: http://www.iflorestal.sp.gov.br/Plano_de_manejo/eec_bauru/Plano_de_Manejo_EEc_Bauru.pdf | documento do Plano de Manejo: Sem informação.,Sem informação.,Sem informação.,Sem informação.,Sem informação.,"Rua do Horto, 931, Horto Florestal, São Paulo, SP - 2377000",(11) 2997-5000,lhpaula@fflorestal.sp.gov.br - luizhpaula@gmail.com,SÃO PAULO,BAURU (SP),35,3506003,"287,00","287,00",https://cnuc.mma.gov.br/map/909,Site: www.fflorestal.sp.gov.br,http://cnuc-backend.mma.gov.br/api/v1/report/uc/909,http://cnuc-backend.mma.gov.br/api/v1/uc/909,Sem informação.,Sem informação.,Sem informação.,Sem informação.,Ativo
0000.35.0911,ESTAÇÃO ECOLÓGICA DE XITUÉ,Decreto 28153 de 23/04/1957,"http://www.al.sp.gov.br/repositorio/legislacao/decreto/1957/decreto%20n.28.153,%20de%2023.04.1957.htm",Ampliação: Decreto 24151 de 24/10/1985 - Recategorização: Decreto 26.890 de 12/03/1987,"Ampliação: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1985/decreto%20n.24.151,%20de%2024.10.1985.htm - Recategorização: http://www.al.sp.gov.br/repositorio/legislacao/decreto/1987/decreto%20n.26.890,%20de%2012.03.1987.htm",Resolução 81 de 28/06/2018,ato legal: http://arquivos.ambiente.sp.gov.br/fundacaoflorestal/2018/07/resolucao-sma-081_18.pdf | documento do Plano de Manejo: Sem informação.,Resolução 140 de 25/10/2018,https://www.ambiente.sp.gov.br/legislacao/resolucoes-sma/resolucao-sma-140-2018/,Sem informação.,Sem informação.,"Estrada Municipal Km 25, -, Ribeirão Grande, SP - 18315000",(15) 3542-1245 - (15) 3542-1511,pe.intervales@fflorestal.sp.gov.br,SÃO PAULO,RIBEIRÃO GRANDE (SP),35,3543253,"1.308,00","3.095,00",https://cnuc.mma.gov.br/map/911,Site: http://fflorestal.sp.gov.br/pagina-inicial/estacao-ecologica/estacoes-ecologicas-estaduais/,http://cnuc-backend.mma.gov.br/api/v1/report/uc/911,http://cnuc-backend.mma.gov.br/api/v1/uc/911,Sem informação.,Sem informação.,Sem informação.,Sítio do Patrimônio Sítio do Patrimônio Reservas do Sudeste da Mata Atlântica,Ativo
