"Área de Proteção Ambiental","E-mail","Telefone","Endereço da Sede","Município","Documentos Legais","Atualização","Correspondência CNUC","nome_uc","Nome.da.UC","Área de Proteção Ambiental Marinha","Área de Relevante Interesse Ecológico","Estação Ecológica","Estação Experimental","Floresta Estadual","Monumento Natural Estadual","Parque Estadual","Endereço da sede","Reserva de Desenvolvimento Sustentável","Reserva Extrativista","Nº","RPPN","MUNICÍPIO","RESOLUÇÃO DE CRIAÇÃO","ÁREA EM HECTARES","APROVAÇÃO PLANO DE MANEJO","Refúgio da Vida Silvestre"
"Morro de São Bento","ec.ribpreto@fflorestal.sp.gov.br","11 1193750-8503 / 
 16 3637-1939","Rod. Prefeito Antônio Duarte Nogueira, km 317 – CEP 14031-800, Jardim Progresso","Ribeirão Preto","Lei Estadual nº 6.131","11/04/2024","ok","Área de Proteção Ambiental Morro de São Bento","ÁREA DE PROTEÇÃO AMBIENTAL MORRO DE SÃO BENTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Parque e Fazenda do Carmo","gustavoalexandre@fflorestal.sp.gov.br","11 2997-5007 R311 / 11 2748-7100","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Decreto Estadual nº 37.678","27/03/2024","ok","Área de Proteção Ambiental Parque e Fazenda do Carmo","ÁREA DE PROTEÇÃO AMBIENTAL PARQUE E FAZENDA DO CARMO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piracicaba / Juquerí-Mirim ÁREA-I","apacorumbatai@fflorestal.sp.gov.br","19 3438-7116","Rodovia Luiz de Queiroz, km 149, SP 304 Bairro: Tupi CEP: 13428-000","Piracicaba","Decreto Estadual n° 20.960","27/03/2024","nome cnuc: APA PIRACICABA JUQUERI MIRIM ÁREA I","Área de Proteção Ambiental Piracicaba / Juquerí-Mirim ÁREA-I","ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA / JUQUERÍ-MIRIM ÁREA-I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Piracicaba / Juquerí-Mirim ÁREA-II","jfernandov@fflorestal.sp.gov.br","–","Av. Brasil n. 2340 – Edifício Cati, n 1 Bloco A – Andar térreo, Face norte – Jd. Chapadão – CEP 13070-178","Campinas","Decreto nº 26.882, de 11 de março de 1987
 Lei nº 7.438, de 16 de setembro de 1991","18/03/2024","nome cnuc: APA PIRACICABA JUQUERI MIRIM ÁREA II","Área de Proteção Ambiental Piracicaba / Juquerí-Mirim ÁREA-II","ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA / JUQUERÍ-MIRIM ÁREA-II",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Planalto Turvo","domingosoliveira@fflorestal.sp.gov.br","13 38214494 / 13 38215030","Av. Clara Geanotti de Souza, n° 1.139 – CEP 11900-000","Registro","Lei Estadual nº 12.810","10/04/2024","não","Área de Proteção Ambiental Planalto Turvo","ÁREA DE PROTEÇÃO AMBIENTAL PLANALTO TURVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quilombos do Médio Ribeira","apa.quilombos@fflorestal.sp.gov.br","13 3871-1242","Avenida Marechal Castelo Branco, Nº 773, ao lado do PIT – Posto de Informações Turísticas – CEP 11960-000","Eldorado","Lei Estadual nº 12.810","10/04/2024","ok","Área de Proteção Ambiental Quilombos do Médio Ribeira","ÁREA DE PROTEÇÃO AMBIENTAL QUILOMBOS DO MÉDIO RIBEIRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Represa Bairro da Usina","jgabrielcara@fflorestal.sp.gov.br","11 2997-5007 R311 / 11 2748-7100","Av. Brasil n. 2340 – Edifício Cati, n 1 Bloco A – Andar térreo, Face norte – Jd. Chapadão – CEP 13070-178","Campinas","Lei Estadual Nº 5.280, de 04 de setembro de 1986
 Decreto nº 65.245, de 14 de outubro de 2020
 Plano de Manejo","18/03/2023","ok","Área de Proteção Ambiental Represa Bairro da Usina","ÁREA DE PROTEÇÃO AMBIENTAL REPRESA BAIRRO DA USINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacia Hidrográfica do Rio Batalha","mariosr@fflorestal.sp.gov.br","14 3814-1494","Regional Botucatu – Rua Lourenço Carmelo, nº 180 – Jd. Paraiso – CEP 18610-265","Botucatu","Lei Estadual Nº 10.773","10/04/2024","nome cnuc: APA Rio Batalha","Área de Proteção Ambiental Bacia Hidrográfica do Rio Batalha","ÁREA DE PROTEÇÃO AMBIENTAL BACIA HIDROGRÁFICA DO RIO BATALHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"São Francisco Xavier","apa.franciscoxavier@fflorestal.sp.gov.br","12 39261790","Rua 15 de novembro, nº 1051 Distrito de São Francisco Xavier – CEP 12249-000","São José dos Campos","Plano de Manejo","10/04/2024","ok","Área de Proteção Ambiental São Francisco Xavier","ÁREA DE PROTEÇÃO AMBIENTAL SÃO FRANCISCO XAVIER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sapucaí Mirim","apascj.sm@fflorestal.sp.gov.br","13 99671 – 4503","AV. Pedro Paulo, s/nº, Horto Florestal – CEP 12460-000","Campos do Jordão","Decreto Estadual Nº 43.285","10/04/2024","ok","Área de Proteção Ambiental Sapucaí Mirim","ÁREA DE PROTEÇÃO AMBIENTAL SAPUCAÍ MIRIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serra do Itapeti","lmanzatti@fflorestal.sp.gov.br
 serraitapeti@fflorestal.sp.gov.br","11 99771-4314","–","–","–","05/-4/2024","ok","Área de Proteção Ambiental Serra do Itapeti","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO ITAPETI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serra do Mar","apa.seeradomar@fflorestal.sp.gov.br","13 996432793
 13 21304123","Av. Wild José de Souza, 456 – Vila Tupy – CEP: 11900-000","Registro","Decreto Estadual nº 22.717","05/04/2024","ok","Área de Proteção Ambiental Serra do Mar","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serra do Mar – Núcleo Itariru","pesm.itariru@fflorestal.sp.gov.br","13 34192792","Estrada do Caracol, 410 – Bairro Caracol – CEP: 11790-000","Pedro de Toledo","–","01/03/2024","parte da APA Serra do Mar?","Área de Proteção Ambiental Serra do Mar – Núcleo Itariru","ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR – NÚCLEO ITARIRU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Silveiras","izza@fflorestal.sp.gov.br","12-996039272","AV. Pedro Paulo, s/nº – Horto Florestal – CEP 12460-000","Campos do Jordão","Lei Estadual nº 4.100","10/04/2024","ok","Área de Proteção Ambiental Silveiras","ÁREA DE PROTEÇÃO AMBIENTAL SILVEIRAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sistema Cantareira","jfernandov@fflorestal.sp.gov.br","–","Av. Brasil, 2340 – Edifício CATI, n°1/Bloco A, Face Norte, Jardim Chapadão – CEP 13070-178","Campinas","Lei Estadual Nº 10.111 de 04 de dezembro de 1998
 Plano de manejo","18/03/2024","ok","Área de Proteção Ambiental Sistema Cantareira","ÁREA DE PROTEÇÃO AMBIENTAL SISTEMA CANTAREIRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tanquã-Rio Piracicaba","antoniob@fflorestal.sp.gov.br","11 91723-3044","Av Prof. Frederico Hermann Jr, 325
 Alto de Pinheiros, São Paulo – SP
 05459-010","Anhembi, Botucatu, Dois Córregos, Piracicaba, Santa Maria da Serra e São Pedro","Resolução Nº 138","27/03/2024","ok","Área de Proteção Ambiental Tanquã-Rio Piracicaba","ÁREA DE PROTEÇÃO AMBIENTAL TANQUÃ-RIO PIRACICABA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tiete-Jumirim","waldnirgm@fflorestal.sp.gov.br","15 32338464","R. Epitácio Pessoa, 269 – Além Ponte
 CEP 18013-190","Sorocaba","Decreto Estadual Nº 20.959","05/04/2024","APA TIETÊ?","Área de Proteção Ambiental Tiete-Jumirim","ÁREA DE PROTEÇÃO AMBIENTAL TIETE-JUMIRIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tietê -Jumirim","waldnirgm@fflorestal.sp.gov.br","15 32338464","R. Epitácio Pessoa, 269 – Além Ponte, Sorocaba – SP, Cep 18013-190","Tietê","Decreto nº 64.214, de 06 de maio de 2019
 Plano de manejo
 Mapa","01/03/2024","APA TIETÊ?","Área de Proteção Ambiental Tietê -Jumirim","ÁREA DE PROTEÇÃO AMBIENTAL TIETÊ -JUMIRIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Várzea do Tietê","katiabf@fflorestal.sp.gov.br","11 2997-5000 R312","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Resolução Nº 27","10/04/2024","nome cnuc: APA Várzea do Rio Tietê","Área de Proteção Ambiental Várzea do Tietê","ÁREA DE PROTEÇÃO AMBIENTAL VÁRZEA DO TIETÊ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"apamarlitoralnorte@gmail.com
 apamarinhaln@fflorestal.sp.gov.br","12 38324725
 12 38321397","Rua Esteves da Silva, 510 – Centro – CEP 11680-000","Ubatuba","Decreto nº 53.525
 Decreto n° 66.823","26/03/2024","ok","APA Marinha do Litoral Norte","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL NORTE","APA Marinha do Litoral Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"apamarinhalc@fflorestal.sp.gov.br","13 3567-1495","Rua Gonçalo da Costa, 140 – Bairro Centro – CEP 11.250-000","Bertioga","Decreto nº 53.526","26/03/2024","ok","APA Marinha do Litoral Centro","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL CENTRO","APA Marinha do Litoral Centro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"apamarinhals@fflorestal.sp.gov.br","13 3851-1163 / 3851-1108","Rua Vladimir Besnard, s/n – Morro São João – CEP 04952-100","Cananéia","Decreto nº 53.527","26/03/2024","ok","APA Marinha do Litoral Sul","ÁREA DE PROTEÇÃO AMBIENTAL MARINHA DO LITORAL SUL","APA Marinha do Litoral Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"maoliveira@fflorestal.sp.gov.br","13 3841-2026 R2193 
 11 91747-3476","Praça São Benedito, 110 – Centro
 CEP 11.920-000","Iguape","–","05/04/2024","ok","Área de Relevante Interesse Ecológico Guará","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO GUARÁ",NA,"Guará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"nelson.gallo@fflorestal.sp.gov.br","14 99833-0149","Av. Rodrigues Alves, 38-25 – Horto Floresta -CEP 17030-000","Bauru","–","10/05/2024","ok","Área de Relevante Interesse Ecológico Leopoldo Magno Coutinho","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO LEOPOLDO MAGNO COUTINHO",NA,"Leopoldo Magno Coutinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"nchorn@fflorestal.sp.gov.br","11 2997-5076","Rodovia Floriano Rodrigues Pinheiro KM 11 Rua Oitenta e Sete, bairro Pedra Branca, município Estância Turística de Tremembé","Tremembé","Lei nº 5.864, de 28 de outubro de 1987","04/03/2024","ok","Área de Relevante Interesse Ecológico Pedra Branca","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PEDRA BRANCA",NA,"Pedra Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"danielrs@fflorestal.sp.gov.br","12 3832-1397 / 11 93275-9567","Rua Serra do Mar, 13 – Juquehy – São Sebastião – CEP 11600-000","São Sebastião","Decreto n° 53.525, de 08 de outubro de 2008","26/03/2024","ok","Área de Relevante Interesse Ecológico São Sebastião","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SÃO SEBASTIÃO",NA,"São Sebastião",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"maoliveira@fflorestal.sp.gov.br","13 3841-2026 R2193 
 11 91747-3476","Praça São Benedito, 110 – Centro
 CEP 11.920-000","Iguape","–","05/04/2024","nome cnuc:ARIE ZONA DE VIDA SILVESTRE DA APA DA ILHA COMPRIDA","Área de Relevante Interesse Ecológico ZVS – APA Ilha Comprida","ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ZVS – APA ILHA COMPRIDA",NA,"ZVS – APA Ilha Comprida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"eec.fe.angatuba@fflorestal.sp.gov.br","15 3255-5282","Estada Vicinal João Ciríaco Ramos, km 06 – Bairro da Conquista – CEP: 18240-200","Angatuba","Plano de Manejo
 Shapefile da Unidade","14/03/2024","ok","Estação Ecológica Angatuba","ESTAÇÃO ECOLÓGICA ANGATUBA",NA,NA,"Angatuba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"pamelatg@fflorestal.sp.gov.br","16 3335-0211","Rua Vereador Mário Ananias, s/n – Chácara Flora – CEP: 14805-304","Araraquara","Decreto Lei n°. 34, de 10 de abril de 1969
 Transcrição 91 – 22/05/1937","04/03/2024","não","Estação Ecológica Araraquara","ESTAÇÃO ECOLÓGICA ARARAQUARA",NA,NA,"Araraquara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"marlicardoso@fflorestal.sp.gov.br","14-3732-0290","Rodovia João Melão, km 240 + 400 m, acesso por estrada municipal rural","Avaré/SP","Decreto de Criação
 Shapefile da Unidade
 Plano de Manejo","29/02/2024","ok","Estação Ecológica Avaré","ESTAÇÃO ECOLÓGICA AVARÉ",NA,NA,"Avaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.bananal@fflorestal.sp.gov.br","12 3116-2008","Rodovia SP 247, km15 mais 10 km pela Estrada do Ariró – CEP 12850-000","Bananal","Plano de Manejo – Concluído","27/02/2024","ok","Estação Ecológica Bananal","ESTAÇÃO ECOLÓGICA BANANAL",NA,NA,"Bananal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"aliriof@fflorestal.sp.gov.br","17 32336404","–","–","Decreto n°68.171
 Lei n°8316","10/05/2024","não","Estação Ecológica Banhados de Iguape","ESTAÇÃO ECOLÓGICA BANHADOS DE IGUAPE",NA,NA,"Banhados de Iguape",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"joaomarceloe@yahoo.com.br","–","Estrada Municipal Anhembi – Fazenda Barreiro Rico","Anhembi","Resolução SMA Nº 36","10/05/2024","ok","Estação Ecológica Barreiro Rico","ESTAÇÃO ECOLÓGICA BARREIRO RICO",NA,NA,"Barreiro Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.caetetus@fflorestal.sp.gov.br","14 3473-1248","Rodovia SP 331, km 186 – CEP 17450-000","Gália","Plano de Manejo","18/03/2024","ok","Estação Ecológica Caetetus","ESTAÇÃO ECOLÓGICA CAETETUS",NA,NA,"Caetetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.chauas@fflorestal.sp.gov.br","11 91724-8522","Praça Engenheiro Greenhalg, 110, Centro, Iguape – SP","Iguape","Lista Avifauna","10/05/2024","ok","Estação Ecológica Chauás","ESTAÇÃO ECOLÓGICA CHAUÁS",NA,NA,"Chauás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"antoniob@fflorestal.sp.gov.br","11 91723-3044","Av. Professor Frederico Hermann Junior, 345 – CEP 05459-900","São Paulo","–","27/03/2024","ok","Estação Ecológica Ibicatu","ESTAÇÃO ECOLÓGICA IBICATU",NA,NA,"Ibicatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ee.ita@fflorestal.sp.gov.br","15 3562-1132","Rua Chico Menino, 346 – Santa Maria -CEP: 18440-000","Itaberá","–","05/04/2024","ok","Estação Ecológica Itaberá","ESTAÇÃO ECOLÓGICA ITABERÁ",NA,NA,"Itaberá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.itapeti@fflorestal.sp.gov.br","11 4790-5357","Av. Professor Frederico Hermann Jr., 345 – prédio 12 – 1° andar – Alto de Pinheiros – CEP 05459-010","São Paulo","Plano de Manejo concluído","05/04/2024","ok","Estação Ecológica Itapeti","ESTAÇÃO ECOLÓGICA ITAPETI",NA,NA,"Itapeti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ee.ita@fflorestal.sp.gov.br","15 3562-1132","SP 258 / KM 312 + 500 metros – CEP 18440-000","Itapeva",NA,"05/04/2024","ok","Estação Ecológica Itapeva","ESTAÇÃO ECOLÓGICA ITAPEVA",NA,NA,"Itapeva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"eeitirapina@fflorestal.sp.gov.br","11 94327-3884 | 19 3575-3326","Rua Oito, s/n, Vila Santa Cruz – CEP 13530-000","Itirapina","Plano de Manejo concluído
 Decreto nº 22.335, de 07/06/1984","17/02/2025","ok","Estação Ecológica Itirapina","ESTAÇÃO ECOLÓGICA ITIRAPINA",NA,NA,"Itirapina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.jatai@fflorestal.sp.gov.br","16 3983-1224","Estrada da Fazenda Jataí, s/nº – CEP 14210-000","–","Plano de Manejo concluído","05/04/2024","ok","Estação Ecológica Jataí","ESTAÇÃO ECOLÓGICA JATAÍ",NA,NA,"Jataí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ec.jureiaitatins@fflorestal.sp.gov.br","13 3457-9243","Estrada do Guaraú, nº 4.164 – CEP 11750-000","Peruíbe","Decreto estadual nº 24.646","08/04/2024","nome cnuc: ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS","Estação Ecológica Juréia-Itatins","ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS",NA,NA,"Juréia-Itatins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
